event_date,publication_date,effective_date,crop,record_type,policy_type,policy_direction,policy_intensity,source_agency,notification_no,source_url,description,quantity_mt,value_usd_million,value_inr_crore,price_inr_per_kg,price_inr_per_quintal,price_usd_per_mt,verification_status,notes
2023-08-19,2024-03-26,2023-08-19,onion,policy_event,export_duty,restrictive,2,Department of Consumer Affairs / PIB,,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2016405&lang=2&reg=48,Forty-percent duty imposed on onion exports.,,,,,,,primary_source_retrospective,Later PIB release identifies effective date as 19-Aug-2023.
2023-10-28,2023-10-28,2023-10-29,onion,policy_event,minimum_export_price,restrictive,2,Department of Consumer Affairs / PIB,,https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=1972618,MEP of USD 800/MT FOB notified for onion exports.,,,,,,800.0,primary_source_verified,PIB states applicability from 29-Oct-2023 through 31-Dec-2023.
2023-10-28,2023-10-28,,onion,market_intervention,buffer_procurement,supportive,2,Department of Consumer Affairs / PIB,,https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=1972618,"Additional onion-buffer procurement of 200,000 MT announced, over 500,000 MT already procured.",200000.0,,,,,,primary_source_verified,"The release also reports 170,000 MT disposed from buffer to date."
2023-12-08,2023-12-11,2023-12-08,onion,policy_event,export_ban,restrictive,3,Department of Consumer Affairs / PIB,49/2023,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1985229&lang=2&reg=48,Onion export prohibited to support domestic availability.,,,,,,,primary_source_verified,Original stated window 08-Dec-2023 through 31-Mar-2024; later extended.
2023-12-11,2023-12-11,,onion,market_intervention,buffer_procurement,supportive,2,Department of Consumer Affairs / PIB,,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1985229&lang=2&reg=48,"NCCF and NAFED directed to procure 700,000 MT of onion for buffer.",700000.0,,,,,,primary_source_verified,"This is an announced procurement target, not a completion count."
2024-03-26,2024-03-26,,onion,market_intervention,buffer_procurement,supportive,2,Department of Consumer Affairs / PIB,,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2016405&lang=2&reg=48,"NCCF and NAFED directed to initiate direct-from-farmer procurement of 500,000 MT for Rabi-2024 buffer.",500000.0,,,,,,primary_source_verified,"The release also says about 640,000 MT was purchased in 2023-24 for buffer/intervention."
2024-03-26,2024-03-26,,onion,trade_allocation,export_exemption,mixed,1,Department of Consumer Affairs / PIB,,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2016405&lang=2&reg=48,"During export prohibition extension, specified export quantities were allowed to Bhutan, Bahrain, Mauritius, Bangladesh and UAE.",69150.0,,,,,,primary_source_verified,"Total is 550+3,000+1,200+50,000+14,400 MT; UAE figure is stated as 3,600 MT per quarter."
2024-05-04,2024-08-07,2024-05-04,onion,policy_event,export_ban_removal,supportive,3,Department of Consumer Affairs / PIB,10/2024-25,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2042765&lang=2&reg=48,Export prohibition lifted; export allowed with MEP USD 550/MT and 40-percent export duty.,,,,,,550.0,primary_source_retrospective,PIB release documents the effective date and conditions; use the DGFT notification for legal wording.
2023-07-20,2023-07-21,2023-07-20,tomato,market_intervention,subsidised_retail_sale,supportive,2,Department of Consumer Affairs / PIB,,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1941389&lang=2&reg=48,NCCF and NAFED procured tomato in producing states and sold at subsidised retail prices; rate reduced to INR 70/kg.,,,,70.0,,,primary_source_verified,"Source says retail rate was INR 90/kg initially, INR 80/kg from 16-Jul-2023, then INR 70/kg from 20-Jul-2023; publication date is 21-Jul-2023."
2024-07-29,2024-07-29,2024-07-29,tomato,market_intervention,subsidised_retail_sale,supportive,2,Department of Consumer Affairs / PIB,,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2038421,NCCF market intervention began subsidised tomato retail sales in Delhi-NCR at INR 60/kg.,,,,60.0,,,primary_source_verified,Tomatoes directly procured from wholesale mandis; PIB says Price Stabilisation Fund was not used for this intervention.
2024-07-31,2024-08-07,2024-07-31,onion,trade_statistic,export_quantity,neutral,0,Department of Consumer Affairs / PIB,,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2042765&lang=2&reg=48,Onion exports in FY 2024-25 through 31-Jul-2024.,260000.0,,,,,,primary_source_verified,PIB reports 2.60 lakh tonnes; converted to metric tonnes.
2024-08-07,2024-08-07,2024-08-07,onion,market_intervention,buffer_procurement,supportive,2,Department of Consumer Affairs / PIB,,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2042765&lang=2&reg=48,"NCCF and NAFED procurement for price-stabilisation buffer, mainly from Maharashtra.",468000.0,,,,,,primary_source_verified,PIB reports 4.68 lakh tonnes; converted to metric tonnes.
2024-09-13,,2024-09-13,onion,policy_event,minimum_export_price_removal,supportive,2,Directorate General of Foreign Trade,28/2024-25,https://content.dgft.gov.in/Website/dgftprod/4df9632c-d01e-42d7-bc41-ce3079db2f99/Notification%2028%202024-25%20-English.pdf,MEP condition on onion export removed with immediate effect.,,,,,,,primary_source_verified,DGFT Notification 28/2024-25 is the operative primary document.
2024-10-07,2024-10-07,2024-10-07,tomato,market_intervention,subsidised_retail_sale,supportive,2,Department of Consumer Affairs / PIB,,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2062787,NCCF procured tomatoes from mandis and retailed in Delhi-NCR at INR 65/kg to address price rise.,,,,65.0,,,primary_source_verified,Source characterises this as NCCF market intervention.
2024-12-31,,2024-12-31,onion,trade_statistic,export_quantity,neutral,0,Department of Consumer Affairs / PIB,,https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2093755&lang=2&reg=3,"Monthly onion export quantity increased from 72,000 MT in Sep-2024 to 168,000 MT in Dec-2024.",168000.0,,,,,,primary_source_verified,"Event date is the December observation; 72,000 MT September comparator is in source narrative."
2025-02-10,2025-02-10,2025-02-10,top,scheme_event,market_intervention_scheme_revision,supportive,2,Ministry of Agriculture & Farmers Welfare / PIB,,https://www.pib.gov.in/newsite/erelcontent.aspx?relid=267284,MIS coverage/procurement ceiling increased from 20 to 25 percent; TOP storage and transportation cost reimbursement detailed.,,,,,,,primary_source_verified,"The release covers Tomato, Onion and Potato; state may opt for price-difference payment rather than physical procurement."
2025-02-10,2025-02-10,2025-02-10,tomato,market_intervention,transport_subsidy,supportive,2,Ministry of Agriculture & Farmers Welfare / PIB,,https://www.pib.gov.in/newsite/erelcontent.aspx?relid=267284,"NCCF transportation-cost reimbursement approved for up to 1,000 MT Kharif tomato from Madhya Pradesh to Delhi.",1000.0,,,,,,primary_source_verified,"Quantity is transport approval, not national procurement or output."
2025-02-12,2025-02-12,2025-02-12,tomato,market_intervention,transport_subsidy,supportive,2,Ministry of Agriculture & Farmers Welfare / PIB,,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2102360&lang=2&reg=48,MIS transportation component approved for tomato in Madhya Pradesh through NCCF after steep price decline.,,,,,,,primary_source_verified,Operational announcement; no transport quantity reported in this release.
2025-04-01,2025-03-22,2025-04-01,onion,policy_event,export_duty_removal,supportive,2,Department of Consumer Affairs / PIB,,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2114060,Twenty-percent onion export duty withdrawn.,,,,,,,primary_source_verified,PIB release published 22-Mar-2025; effective 01-Apr-2025.
2025-03-18,2025-03-22,2025-03-18,onion,trade_statistic,export_quantity,neutral,0,Department of Consumer Affairs / PIB,,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2114060,Onion export in FY 2024-25 through 18-Mar-2025.,1165000.0,,,,,,primary_source_verified,PIB reports 11.65 lakh tonnes; converted to metric tonnes.
2025-09-04,,2025-09-04,onion,market_intervention,buffer_release,supportive,2,Department of Consumer Affairs / PIB,,https://static.pib.gov.in/WriteReadData/specificdocs/documents/2026/jan/doc2026130774701.pdf,Retail sale from onion buffer started at INR 24/kg.,,,,24.0,,,primary_source_retrospective,Source reports this began 04-Sep-2025; the document is a 2026 backgrounder.
2026-04-18,2026-04-18,2026-04-18,potato,market_intervention,market_intervention_procurement,supportive,3,Ministry of Agriculture & Farmers Welfare / PIB,,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2253270&lang=2&reg=3,"Uttar Pradesh potato procurement under MIS approved for 2025-26 at INR 6,500.9/MT; projected central contribution INR 203.15 crore.",2000000.0,,,6.5009,650.09,,primary_source_verified,"Quantity is 20 lakh MT. Price conversion: INR 6,500.9/MT = INR 650.09/quintal."
2026-04-18,2026-04-18,2026-04-18,potato,market_intervention,market_intervention_financial_support,supportive,2,Ministry of Agriculture & Farmers Welfare / PIB,,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2253270&lang=2&reg=3,Projected central-government contribution for Uttar Pradesh potato MIS procurement.,,,,203.15,,,primary_source_verified,Do not treat projected contribution as expenditure.
2026-07-04,2026-07-04,2026-07-04,onion,market_intervention,buffer_procurement_price,supportive,2,Department of Consumer Affairs / PIB,,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2280999&lang=1&reg=20,"Price Stabilisation Buffer onion procurement price increased from INR 1,875 to INR 2,125 per quintal.",,,,,2125.0,,primary_source_verified,Increase stated as 13 percent; NAFED and NCCF procurement reported in progress.
2026-06-30,2026-07-04,2026-06-30,onion,trade_statistic,export_quantity,neutral,0,Department of Consumer Affairs / PIB,,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2280999&lang=1&reg=20,Onion exports during June 2026 reported by PIB.,150000.0,,,,,,primary_source_verified,PIB reports about 1.50 lakh MT; converted to metric tonnes.
2024-09-13,2024-09-13,2024-09-14,onion,policy_event,export_duty_reduction,supportive,2,Department of Revenue / Ministry of Finance (CBIC),43/2024-Customs (N.T.),https://www.pdicai.org/Docs/Notification-No-43-2024_1562024161856868.pdf,Export duty on onions reduced from 40 percent to 20 percent.,,,,,,,primary_source_verified,"Fills the gap Script 19 previously bridged with an assumed DUTY_REDUCTION_DATE of 2024-09-13 (undated in the prior source); CBIC Notification 43/2024-Customs (NT) confirms the reduction, effective 14-Sep-2024, corroborated via Global Trade Alert. Same week as the 13-Sep-2024 DGFT MEP-removal notification but a separate instrument/agency."
2025-07-31,2025-07-31,2025-07-31,top,scheme_event,pmksy_additional_outlay,supportive,1,Cabinet Committee on Economic Affairs / PIB,,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2150644,"Cabinet approved total outlay of INR 6520 crore, including an additional INR 1920 crore, for the ongoing Pradhan Mantri Kisan Sampada Yojana (PMKSY, Operation Greens parent scheme) during the 15th Finance Commission cycle (2021-22 to 2025-26).",,,1920.0,,,,primary_source_verified,"value_inr_crore records the additional outlay specifically (INR 1920 crore); total scheme outlay for the FCC cycle is INR 6520 crore. Infrastructure/scheme track, same category as the existing 2018-11-05 Operation Greens launch and 2022-03-15 pilot-project rows -- informational, not consumed by Script 19s weekly feature builder."
2026-06-13,2026-06-13,2026-06-13,onion,market_intervention,buffer_procurement_price,supportive,1,"NAFED / NCCF (press-reported, no PIB release located)",,https://eng.ruralvoice.in/national/centre-raises-onion-procurement-price-for-buffer-stock-to-rs-1730-per-quintal.html,Price Stabilisation Buffer onion procurement price raised to INR 1650 per quintal.,,,,,1650.0,,press_source_corroborated,"Press-sourced only (Rural Voice); no PIB/government release located for this specific step, unlike the 04-Jul-2026 and 30-Jul-2026 hikes below. Distinguish verification tier from primary_source_verified rows."
2026-06-20,2026-06-20,2026-06-20,onion,market_intervention,buffer_procurement_price,supportive,1,"NAFED / NCCF (press-reported, no PIB release located)",,https://eng.ruralvoice.in/national/centre-raises-onion-procurement-price-for-buffer-stock-to-rs-1730-per-quintal.html,Price Stabilisation Buffer onion procurement price raised from INR 1650 to INR 1730 per quintal.,,,,,1730.0,,press_source_corroborated,Press-sourced only (Rural Voice); no PIB/government release located for this specific step.
2026-07-30,2026-07-30,2026-07-30,onion,market_intervention,buffer_procurement_price,supportive,1,"NAFED / NCCF (press-reported, no PIB release located)",,https://www.freepressjournal.in/pune/nashik-seventh-onion-procurement-price-hike-raises-grade-a-rate-to-2335-per-quintal,Price Stabilisation Buffer onion procurement price raised from INR 2175 to INR 2335 per quintal (A-grade only; quality-standard relaxation withdrawn).,,,,,2335.0,,press_source_corroborated,"Press-sourced only (Free Press Journal / Rural Voice); no PIB/government release located. There is at least one more unlogged intermediate hike between 04-Jul (2125) and this step (2175->2335), i.e. the 2125->2175 leg -- not tracked down. This procurement-price series does not feed any Script 19 weekly feature (market_intervention_flag is a point-in-time 0/1 flag only) -- added for documentation completeness, not because it affects model training."
