crop,market,ATT_log_points,ATT_pct
tomato,Barabanki APMC,-0.0222,-2.2
tomato,Barara APMC,0.1128,11.9
tomato,Bareilly APMC,-0.1353,-12.7
tomato,Baripada APMC,0.4151,51.5
tomato,Barwala APMC,0.1197,12.7
tomato,Bassi Pathana APMC,0.0082,0.8
tomato,Bharthna APMC,-0.4289,-34.9
tomato,Bhawanigarh APMC,0.0761,7.9
tomato,"Binny Mill (F&V), Bengaluru APMC",-0.3216,-27.5
tomato,Bishalgarh APMC,0.0299,3.0
tomato,Buland Shahr APMC,-0.4793,-38.1
tomato,Burdwan APMC,0.1779,19.5
tomato,Champaknagar APMC,-0.2709,-23.7
tomato,Chattrapati Sambhajinagar APMC,0.0917,9.6
tomato,Chavakkad Market,-0.1932,-17.6
tomato,Chelakkara Market,-0.1671,-15.4
tomato,Chengannur Market,-0.3094,-26.6
tomato,Chickkaballapura APMC,-0.6745,-49.1
tomato,Chikkamagaluru APMC,-0.3868,-32.1
tomato,Chintamani APMC,0.1148,12.2
tomato,Chomu FV APMC,-0.1351,-12.6
tomato,Choubepur APMC,-0.0043,-0.4
tomato,Dadri APMC,-0.5448,-42.0
tomato,Dahod(Veg. Market) APMC,-0.3131,-26.9
tomato,Davangere APMC,-0.3927,-32.5
tomato,Etah APMC,0.7764,117.4
tomato,Etawah APMC,-0.2154,-19.4
tomato,Fatehpur APMC,-0.5818,-44.1
tomato,Firozabad APMC,1.7923,500.3
tomato,Firozepur City APMC,-1.2083,-70.1
tomato,Ghaziabad APMC,-0.0582,-5.7
tomato,Gohana APMC,0.2088,23.2
tomato,Gonda APMC,0.3307,39.2
tomato,Gorakhpur APMC,-0.3363,-28.6
tomato,Haathras APMC,0.4536,57.4
tomato,Habra APMC,-0.0708,-6.8
tomato,Hapur APMC,-0.4774,-38.0
tomato,Hardoi APMC,2.6162,1268.3
tomato,Jalandhar City(Jalandhar) APMC,0.1819,20.0
tomato,Jalaun APMC,-0.1268,-11.9
tomato,Jalgaon APMC,0.5554,74.3
tomato,Jalore APMC,-0.7557,-53.0
tomato,Jaunpur APMC,0.3287,38.9
tomato,Junnar(Narayangaon) APMC,-0.1284,-12.0
tomato,Kalmeshwar APMC,-0.1305,-12.2
tomato,Kalna APMC,-0.1073,-10.2
tomato,Kamakhyanagar APMC,-0.211,-19.0
tomato,Kamthi APMC,-0.1109,-10.5
tomato,Kanjirappally Market,-0.0735,-7.1
tomato,Kannauj APMC,-0.5332,-41.3
tomato,Kanpur(Grain) APMC,0.0059,0.6
tomato,Karad APMC,-0.4999,-39.3
tomato,Kayamkulam Market,0.0473,4.8
tomato,Kharar APMC,0.2691,30.9
tomato,Khariar APMC,-0.2983,-25.8
tomato,Khariar Road APMC,-0.2082,-18.8
tomato,Khatra APMC,-0.0851,-8.2
tomato,Kolar APMC,0.1414,15.2
tomato,Kolhapur APMC,0.0295,3.0
tomato,Konch APMC,0.1811,19.8
tomato,Kondotty Market,-0.0546,-5.3
tomato,Kottakkal Market,-0.2175,-19.5
tomato,Lakhimpur APMC,0.3684,44.5
tomato,Lucknow APMC,-0.7494,-52.7
tomato,Madhoganj APMC,0.2939,34.2
tomato,Mainpuri APMC,0.5162,67.6
tomato,Manjeri Market,-0.1829,-16.7
tomato,Manjeswaram Market,-0.1668,-15.4
tomato,Mansa(Manas Veg Yard) APMC,-0.0479,-4.7
tomato,Meerut APMC,0.227,25.5
tomato,Mehsana(Mehsana Veg) APMC,0.3119,36.6
tomato,Memari APMC,0.2783,32.1
tomato,Mirzapur APMC,0.985,167.8
tomato,Mulbagal APMC,0.2016,22.3
tomato,Muradabad APMC,0.5363,71.0
tomato,Muzzafarnagar APMC,-0.0284,-2.8
tomato,Mysuru APMC,-0.4846,-38.4
tomato,Nagpur APMC,0.3631,43.8
tomato,Naraingarh APMC,-0.2148,-19.3
tomato,Orai APMC,-0.0734,-7.1
tomato,PMY Kullu,-0.8305,-56.4
tomato,Padra APMC,0.1278,13.6
tomato,Pala Market,0.0231,2.3
tomato,Palakkad Market,-0.023,-2.3
tomato,Panisagar APMC,0.059,6.1
tomato,Partaval APMC,0.2436,27.6
tomato,Patan APMC,-0.5354,-41.5
tomato,Patti APMC,0.0173,1.7
tomato,Perumbavoor Market,-0.5227,-40.7
tomato,Pilibhit APMC,-0.1806,-16.5
tomato,Pratapgarh APMC,1.1845,226.9
tomato,Pukharayan APMC,-0.0859,-8.2
tomato,Raibareilly APMC,0.8319,129.8
tomato,Rajkot(Veg.Sub Yard) APMC,0.4072,50.3
tomato,Rajpura APMC,-0.0627,-6.1
tomato,Raman APMC,0.4426,55.7
tomato,Ramanagara APMC,0.2062,22.9
tomato,Ramtek APMC,-0.5939,-44.8
tomato,Ratnagiri (Nachane) APMC,-0.8724,-58.2
tomato,Roorkee APMC,0.5641,75.8
tomato,SMY Bhuntar,-0.5705,-43.5
tomato,Sadhaura APMC,-0.1912,-17.4
tomato,Saharanpur APMC,0.1382,14.8
tomato,Sainthia APMC,0.4524,57.2
tomato,Saraskana APMC,0.1761,19.3
tomato,Sargipali APMC,-0.5574,-42.7
tomato,Satara APMC,0.1378,14.8
tomato,Sealdah Koley Market APMC,0.5565,74.5
tomato,Shahabad APMC,-0.0486,-4.7
tomato,Shahganj APMC,0.207,23.0
tomato,Shahjahanpur APMC,-0.8957,-59.2
tomato,Shrirampur APMC,-0.0401,-3.9
tomato,Sirsaganj APMC,-1.1123,-67.1
tomato,Sitarganj APMC,0.4741,60.7
tomato,Srinivasapur APMC,-1.0264,-64.2
tomato,Sultanpur APMC,0.2985,34.8
tomato,Thrippunithura Market,-0.0266,-2.6
tomato,Udaipur (F&V) APMC,0.3123,36.7
tomato,Uluberia APMC,0.2593,29.6
tomato,Unnao APMC,-0.195,-17.7
tomato,Vadhvan APMC,-0.1774,-16.3
tomato,Vai APMC,-0.2989,-25.8
tomato,Vikasnagar APMC,0.4293,53.6
tomato,Zira APMC,-0.1812,-16.6
