crop,market,ATT_log_points,ATT_pct
tomato,Dasuya APMC,0.0135,1.4
tomato,Davangere APMC,0.1003,10.6
tomato,Doddaballapur APMC,0.0893,9.3
tomato,Durg APMC,0.0062,0.6
tomato,Durgapur APMC,0.0859,9.0
tomato,Etah APMC,0.1087,11.5
tomato,Etawah APMC,0.0114,1.2
tomato,Fatehpur APMC,-0.0125,-1.2
tomato,Firozabad APMC,0.0752,7.8
tomato,Firozepur City APMC,-0.078,-7.5
tomato,Ghaziabad APMC,0.0499,5.1
tomato,Gohana APMC,0.1151,12.2
tomato,Gonda APMC,0.0811,8.5
tomato,Gorakhpur APMC,0.0137,1.4
tomato,Haathras APMC,0.0344,3.5
tomato,Habra APMC,-0.2556,-22.6
tomato,Hapur APMC,-0.0145,-1.4
tomato,Hardoi APMC,-0.0063,-0.6
tomato,Jalandhar City(Jalandhar) APMC,0.2268,25.5
tomato,Jalaun APMC,0.1703,18.6
tomato,Jalgaon APMC,-0.0823,-7.9
tomato,Jalore APMC,-0.1133,-10.7
tomato,Jaunpur APMC,-0.0093,-0.9
tomato,Jhansi APMC,-0.054,-5.3
tomato,Junnar(Narayangaon) APMC,0.0509,5.2
tomato,Kallachi Market,0.0047,0.5
tomato,Kalmeshwar APMC,0.1681,18.3
tomato,Kalna APMC,-0.0899,-8.6
tomato,Kamakhyanagar APMC,0.0112,1.1
tomato,Kamthi APMC,0.0467,4.8
tomato,Kanjirappally Market,0.1583,17.2
tomato,Kannauj APMC,-0.0327,-3.2
tomato,Kanpur(Grain) APMC,-0.0871,-8.3
tomato,Karad APMC,-0.0162,-1.6
tomato,Kasganj APMC,0.103,10.8
tomato,Kayamkulam Market,-0.0942,-9.0
tomato,Kendrapara(Marshaghai) APMC,-0.0699,-6.8
tomato,Kharar APMC,0.212,23.6
tomato,Khariar APMC,-0.0656,-6.3
tomato,Khariar Road APMC,-0.0689,-6.7
tomato,Khatra APMC,-0.1828,-16.7
tomato,Kolar APMC,-0.1247,-11.7
tomato,Kolhapur APMC,0.0929,9.7
tomato,Konch APMC,0.0364,3.7
tomato,Kondotty Market,-0.1408,-13.1
tomato,Kottakkal Market,0.1223,13.0
tomato,Lakhimpur APMC,0.0081,0.8
tomato,Lalru APMC,0.0292,3.0
tomato,Lucknow APMC,-0.028,-2.8
tomato,Madhoganj APMC,-0.025,-2.5
tomato,Mainpuri APMC,0.05,5.1
tomato,Malout APMC,-0.2212,-19.8
tomato,Manjeri Market,0.0864,9.0
tomato,Manjeswaram Market,-0.0693,-6.7
tomato,Mansa(Manas Veg Yard) APMC,-0.0457,-4.5
tomato,Meerut APMC,-0.0241,-2.4
tomato,Mehsana(Mehsana Veg) APMC,0.0081,0.8
tomato,Memari APMC,-0.1023,-9.7
tomato,Mirzapur APMC,-0.0063,-0.6
tomato,Mulbagal APMC,0.0072,0.7
tomato,Muradabad APMC,-0.0635,-6.2
tomato,Muzzafarnagar APMC,0.0877,9.2
tomato,Mysuru APMC,0.0818,8.5
tomato,Nagpur APMC,-0.0342,-3.4
tomato,Naraingarh APMC,-0.0217,-2.1
tomato,Orai APMC,0.0099,1.0
tomato,PMY Kullu,-0.0188,-1.9
tomato,Padra APMC,0.0404,4.1
tomato,Pala Market,0.0697,7.2
tomato,Palakkad Market,0.0418,4.3
tomato,Palayam Market,0.013,1.3
tomato,Panisagar APMC,-0.0546,-5.3
tomato,Partaval APMC,0.0231,2.3
tomato,Patan APMC,0.0743,7.7
tomato,Pattamundai APMC,-0.0745,-7.2
tomato,Patti APMC,-0.0116,-1.1
tomato,Pehowa APMC,0.1001,10.5
tomato,Perumbavoor Market,0.1006,10.6
tomato,Pilibhit APMC,-0.08,-7.7
tomato,Pratapgarh APMC,-0.0632,-6.1
tomato,Prayagraj APMC,0.0019,0.2
tomato,Pukharayan APMC,-0.0066,-0.7
tomato,Pune APMC,0.0761,7.9
tomato,Raibareilly APMC,-0.012,-1.2
tomato,Raigarh APMC,0.0471,4.8
tomato,Rajkot(Veg.Sub Yard) APMC,-0.1401,-13.1
tomato,Rajpura APMC,-0.152,-14.1
tomato,Raman APMC,0.0332,3.4
tomato,Ramanagara APMC,0.0106,1.1
tomato,Ramkrishanpur(Howrah) APMC,0.0784,8.2
tomato,Ramtek APMC,0.0925,9.7
tomato,Ranaghat APMC,0.0253,2.6
tomato,Ratnagiri (Nachane) APMC,-0.0301,-3.0
tomato,Rayya APMC,-0.4174,-34.1
tomato,Rishikesh APMC,0.2467,28.0
tomato,Roorkee APMC,0.0447,4.6
tomato,SHRI.SIDDHESHWAR APMC,0.0692,7.2
tomato,SMY Bhuntar,0.0493,5.1
tomato,SMY Dhanotu,0.0979,10.3
tomato,Sadhaura APMC,-0.1392,-13.0
tomato,Saharanpur APMC,0.1487,16.0
tomato,Sahnewal APMC,0.1026,10.8
tomato,Sainthia APMC,-0.0012,-0.1
tomato,Saraskana APMC,-0.014,-1.4
tomato,Sargipali APMC,-0.3305,-28.1
tomato,Satara APMC,-0.0513,-5.0
tomato,Sealdah Koley Market APMC,-0.0743,-7.2
tomato,Shahabad APMC,0.0552,5.7
tomato,Shahganj APMC,0.0242,2.5
tomato,Shahjahanpur APMC,-0.0394,-3.9
tomato,Shrirampur APMC,-0.0011,-0.1
tomato,Sirsaganj APMC,-0.2325,-20.7
tomato,Sitarganj APMC,-0.0642,-6.2
tomato,Srinivasapur APMC,-0.0188,-1.9
tomato,Sultanpur APMC,0.0783,8.1
tomato,Thrippunithura Market,-0.0656,-6.3
tomato,Tiphra APMC,0.2412,27.3
tomato,Udaipur (F&V) APMC,-0.0342,-3.4
tomato,Uluberia APMC,-0.0357,-3.5
tomato,Unnao APMC,0.0539,5.5
tomato,Vadhvan APMC,0.0374,3.8
tomato,Vai APMC,-0.0517,-5.0
tomato,Vikasnagar APMC,-0.3531,-29.8
tomato,Wadakkanchery Market,-0.0768,-7.4
tomato,Zira APMC,0.1553,16.8
