crop,feature,reference,pearson_r,n
onion,fert_dap_mrp,agri_wages_rs_day,0.32,146430
onion,fert_dap_mrp,price_lag_52,0.027,114786
onion,fert_dap_mrp_missing,year_trend,-0.058,176813
onion,fert_dap_mrp_missing,wpi_fruits_vegetables,-0.074,176813
onion,fert_dap_mrp_missing,wpi_vegetables_total,-0.108,176813
onion,fert_dap_mrp_missing,wpi_potato,-0.387,176813
onion,fert_dap_mrp_missing,wpi_onion,-0.157,176813
onion,fert_dap_mrp_missing,wpi_tomato,0.003,176813
onion,fert_dap_mrp_missing,diesel_4city_rs_litre,-0.207,176813
onion,fert_dap_mrp_missing,crude_oil_usd_bbl,-0.077,176813
onion,fert_dap_mrp_missing,agri_wages_rs_day,0.1,176813
onion,fert_dap_mrp_missing,price_lag_52,0.102,130095
onion,fert_mop_mrp,year_trend,0.889,146430
onion,fert_mop_mrp,wpi_fruits_vegetables,0.652,146430
onion,fert_mop_mrp,wpi_vegetables_total,0.392,146430
onion,fert_mop_mrp,wpi_potato,-0.019,146430
onion,fert_mop_mrp,wpi_onion,-0.108,146430
onion,fert_mop_mrp,wpi_tomato,0.246,146430
onion,fert_mop_mrp,diesel_4city_rs_litre,0.831,146430
onion,fert_mop_mrp,crude_oil_usd_bbl,0.638,146430
onion,fert_mop_mrp,agri_wages_rs_day,0.84,146430
onion,fert_mop_mrp,price_lag_52,0.163,114786
onion,fert_mop_mrp_missing,year_trend,-0.058,176813
onion,fert_mop_mrp_missing,wpi_fruits_vegetables,-0.074,176813
onion,fert_mop_mrp_missing,wpi_vegetables_total,-0.108,176813
onion,fert_mop_mrp_missing,wpi_potato,-0.387,176813
onion,fert_mop_mrp_missing,wpi_onion,-0.157,176813
onion,fert_mop_mrp_missing,wpi_tomato,0.003,176813
onion,fert_mop_mrp_missing,diesel_4city_rs_litre,-0.207,176813
onion,fert_mop_mrp_missing,crude_oil_usd_bbl,-0.077,176813
onion,fert_mop_mrp_missing,agri_wages_rs_day,0.1,176813
onion,fert_mop_mrp_missing,price_lag_52,0.102,130095
potato,trigger1,year_trend,-0.217,6724
potato,trigger1,wpi_fruits_vegetables,0.133,6724
potato,trigger1,wpi_vegetables_total,0.146,6724
potato,trigger1,wpi_potato,0.317,6724
potato,trigger1,wpi_onion,0.321,6724
potato,trigger1,wpi_tomato,0.003,6724
potato,trigger1,diesel_4city_rs_litre,-0.181,6724
potato,trigger1,crude_oil_usd_bbl,-0.077,6724
potato,trigger1,agri_wages_rs_day,-0.29,6724
potato,trigger1,price_lag_52,-0.026,6642
potato,trigger1_missing,year_trend,-0.389,41316
potato,trigger1_missing,wpi_fruits_vegetables,-0.504,41316
potato,trigger1_missing,wpi_vegetables_total,-0.448,41316
potato,trigger1_missing,wpi_potato,-0.275,41316
potato,trigger1_missing,wpi_onion,-0.039,41316
potato,trigger1_missing,wpi_tomato,-0.406,41316
potato,trigger1_missing,diesel_4city_rs_litre,-0.377,41316
potato,trigger1_missing,crude_oil_usd_bbl,-0.347,41316
potato,trigger1_missing,agri_wages_rs_day,-0.405,41316
potato,trigger1_missing,price_lag_52,-0.277,36198
potato,cdi,year_trend,-0.071,19028
potato,cdi,wpi_fruits_vegetables,-0.018,19028
potato,cdi,wpi_vegetables_total,-0.01,19028
potato,cdi,wpi_potato,-0.088,19028
potato,cdi,wpi_onion,0.035,19028
potato,cdi,wpi_tomato,-0.009,19028
potato,cdi,diesel_4city_rs_litre,0.045,19028
potato,cdi,crude_oil_usd_bbl,0.106,19028
potato,cdi,agri_wages_rs_day,-0.016,19028
potato,cdi,price_lag_52,0.002,18678
potato,cdi_missing,year_trend,-0.744,41316
potato,cdi_missing,wpi_fruits_vegetables,-0.612,41316
potato,cdi_missing,wpi_vegetables_total,-0.455,41316
potato,cdi_missing,wpi_potato,-0.204,41316
potato,cdi_missing,wpi_onion,-0.057,41316
potato,cdi_missing,wpi_tomato,-0.306,41316
potato,cdi_missing,diesel_4city_rs_litre,-0.775,41316
potato,cdi_missing,crude_oil_usd_bbl,-0.593,41316
potato,cdi_missing,agri_wages_rs_day,-0.675,41316
potato,cdi_missing,price_lag_52,-0.469,36198
potato,fert_urea_mrp_missing,year_trend,-0.269,41316
potato,fert_urea_mrp_missing,wpi_fruits_vegetables,-0.193,41316
potato,fert_urea_mrp_missing,wpi_vegetables_total,-0.185,41316
potato,fert_urea_mrp_missing,wpi_potato,-0.425,41316
potato,fert_urea_mrp_missing,wpi_onion,-0.142,41316
potato,fert_urea_mrp_missing,wpi_tomato,-0.048,41316
potato,fert_urea_mrp_missing,diesel_4city_rs_litre,-0.401,41316
potato,fert_urea_mrp_missing,crude_oil_usd_bbl,-0.21,41316
potato,fert_urea_mrp_missing,agri_wages_rs_day,-0.093,41316
potato,fert_urea_mrp_missing,price_lag_52,0.083,36198
potato,fert_dap_mrp,year_trend,0.265,34932
potato,fert_dap_mrp,wpi_fruits_vegetables,0.124,34932
potato,fert_dap_mrp,wpi_vegetables_total,0.019,34932
potato,fert_dap_mrp,wpi_potato,-0.057,34932
potato,fert_dap_mrp,wpi_onion,-0.243,34932
potato,fert_dap_mrp,wpi_tomato,0.036,34932
potato,fert_dap_mrp,diesel_4city_rs_litre,0.147,34932
potato,fert_dap_mrp,crude_oil_usd_bbl,0.219,34932
potato,fert_dap_mrp,agri_wages_rs_day,0.271,34932
potato,fert_dap_mrp,price_lag_52,0.099,34068
potato,fert_dap_mrp_missing,year_trend,-0.269,41316
potato,fert_dap_mrp_missing,wpi_fruits_vegetables,-0.193,41316
potato,fert_dap_mrp_missing,wpi_vegetables_total,-0.185,41316
potato,fert_dap_mrp_missing,wpi_potato,-0.425,41316
potato,fert_dap_mrp_missing,wpi_onion,-0.142,41316
potato,fert_dap_mrp_missing,wpi_tomato,-0.048,41316
potato,fert_dap_mrp_missing,diesel_4city_rs_litre,-0.401,41316
potato,fert_dap_mrp_missing,crude_oil_usd_bbl,-0.21,41316
potato,fert_dap_mrp_missing,agri_wages_rs_day,-0.093,41316
potato,fert_dap_mrp_missing,price_lag_52,0.083,36198
potato,fert_mop_mrp,year_trend,0.885,34932
potato,fert_mop_mrp,wpi_fruits_vegetables,0.657,34932
potato,fert_mop_mrp,wpi_vegetables_total,0.464,34932
potato,fert_mop_mrp,wpi_potato,0.088,34932
potato,fert_mop_mrp,wpi_onion,-0.017,34932
potato,fert_mop_mrp,wpi_tomato,0.322,34932
potato,fert_mop_mrp,diesel_4city_rs_litre,0.825,34932
potato,fert_mop_mrp,crude_oil_usd_bbl,0.654,34932
potato,fert_mop_mrp,agri_wages_rs_day,0.823,34932
potato,fert_mop_mrp,price_lag_52,0.393,34068
potato,fert_mop_mrp_missing,year_trend,-0.269,41316
potato,fert_mop_mrp_missing,wpi_fruits_vegetables,-0.193,41316
potato,fert_mop_mrp_missing,wpi_vegetables_total,-0.185,41316
potato,fert_mop_mrp_missing,wpi_potato,-0.425,41316
potato,fert_mop_mrp_missing,wpi_onion,-0.142,41316
potato,fert_mop_mrp_missing,wpi_tomato,-0.048,41316
potato,fert_mop_mrp_missing,diesel_4city_rs_litre,-0.401,41316
potato,fert_mop_mrp_missing,crude_oil_usd_bbl,-0.21,41316
potato,fert_mop_mrp_missing,agri_wages_rs_day,-0.093,41316
potato,fert_mop_mrp_missing,price_lag_52,0.083,36198
