state,panel_district,vedas_district,match_type,similarity,notes
Kerala,Kozhikode(Calicut),KOZHIKODE,exact,1.0,"matched via cleaned variant ""KOZHIKODE"""
Kerala,Malappuram,MALAPPURAM,exact,1.0,
Kerala,Palakad,PALAKKAD,fuzzy,0.933,
Kerala,Thirssur,THRISSUR,fuzzy,0.875,
Kerala,Thiruvananthapuram,THIRUVANANTHAPURAM,exact,1.0,
Keralam,Alappuzha,ALAPPUZHA,exact,1.0,
Keralam,Ernakulam,ERNAKULAM,exact,1.0,
Keralam,Idukki,IDUKKI,exact,1.0,
Keralam,Kannur,KANNUR,exact,1.0,
Keralam,Kasargod,KASARAGOD,fuzzy,0.941,
Keralam,Kollam,KOLLAM,exact,1.0,
Keralam,Kottayam,KOTTAYAM,exact,1.0,
Keralam,Kozhikode(Calicut),KOZHIKODE,exact,1.0,"matched via cleaned variant ""KOZHIKODE"""
Keralam,Malappuram,MALAPPURAM,exact,1.0,
Keralam,Palakad,PALAKKAD,fuzzy,0.933,
Keralam,Thirssur,THRISSUR,fuzzy,0.875,
Keralam,Thiruvananthapuram,THIRUVANANTHAPURAM,exact,1.0,
Madhya Pradesh,Badwani,BARWANI,fuzzy,0.857,
Madhya Pradesh,Bhopal,BHOPAL,exact,1.0,
Madhya Pradesh,Chhatarpur,CHHATARPUR,exact,1.0,
Madhya Pradesh,Chhindwara,CHHINDWARA,exact,1.0,
Madhya Pradesh,Dewas,DEWAS,exact,1.0,
Madhya Pradesh,Dhar,DHAR,exact,1.0,
Madhya Pradesh,Guna,GUNA,exact,1.0,
Madhya Pradesh,Gwalior,GWALIOR,exact,1.0,
Madhya Pradesh,Harda,HARDA,exact,1.0,
Madhya Pradesh,Hoshangabad,NARMADAPURAM,alias,,"documented rename/split, see ALIAS table"
Madhya Pradesh,Indore,INDORE,exact,1.0,
Madhya Pradesh,Jabalpur,JABALPUR,exact,1.0,
Madhya Pradesh,Jhabua,JHABUA,exact,1.0,
Madhya Pradesh,Khandwa,KHANDWA,exact,1.0,
Madhya Pradesh,Mandsaur,MANDSAUR,exact,1.0,
Madhya Pradesh,Morena,MORENA,exact,1.0,
Madhya Pradesh,Narsinghpur,NARSINGHPUR,exact,1.0,
Madhya Pradesh,Neemuch,NEEMUCH,exact,1.0,
Madhya Pradesh,Rajgarh,RAJGARH,exact,1.0,
Madhya Pradesh,Ratlam,RATLAM,exact,1.0,
Madhya Pradesh,Sagar,SAGAR,exact,1.0,
Madhya Pradesh,Satna,SATNA,exact,1.0,
Madhya Pradesh,Sehore,SEHORE,exact,1.0,
Madhya Pradesh,Seoni,SEONI,exact,1.0,
Madhya Pradesh,Shajapur,SHAJAPUR,exact,1.0,
Madhya Pradesh,Shivpuri,SHIVPURI,exact,1.0,
Madhya Pradesh,Ujjain,UJJAIN,exact,1.0,
Maharashtra,Ahilyanagar,AHMEDNAGAR,alias,,"documented rename/split, see ALIAS table"
Maharashtra,Amarawati,AMRAVATI,alias,,"documented rename/split, see ALIAS table"
Maharashtra,Beed,BEED,exact,1.0,
Maharashtra,Buldhana,BULDHANA,exact,1.0,
Maharashtra,Chandrapur,CHANDRAPUR,exact,1.0,
Maharashtra,Chattrapati Sambhajinagar,CHHATRAPATI SAMBHAJINAGAR,alias,,"documented rename/split, see ALIAS table"
Maharashtra,Dhule,DHULE,exact,1.0,
Maharashtra,Jalgaon,JALGAON,exact,1.0,
Maharashtra,Kolhapur,KOLHAPUR,exact,1.0,
Maharashtra,Mumbai,MUMBAI,exact,1.0,
Maharashtra,Nagpur,NAGPUR,exact,1.0,
Maharashtra,Nandurbar,NANDURBAR,exact,1.0,
Maharashtra,Nashik,NASHIK,exact,1.0,
Maharashtra,Palghar,PALGHAR,exact,1.0,
Maharashtra,Pune,PUNE,exact,1.0,
Maharashtra,Raigad,RAIGARH,alias,,"documented rename/split, see ALIAS table"
Maharashtra,Ratnagiri,RATNAGIRI,exact,1.0,
Maharashtra,Sangli,SANGLI,exact,1.0,
Maharashtra,Satara,SATARA,exact,1.0,
Maharashtra,Solapur,SOLAPUR,exact,1.0,
Manipur,Imphal East,IMPHAL EAST,exact,1.0,
Manipur,Kakching,KAKCHING,exact,1.0,
Manipur,Thoubal,THOUBAL,exact,1.0,
NCT of Delhi,Delhi,,needs_review,0.714,closest VEDAS candidate: NEW DELHI
Odisha,Balasore,BALASORE,exact,1.0,
Odisha,Bargarh,BARGARH,exact,1.0,
Odisha,Bhadrak,BHADRAK,exact,1.0,
Odisha,Bolangir,BALANGIR,fuzzy,0.875,
Odisha,Boudh,BOUDH,exact,1.0,
Odisha,Dhenkanal,DHENKANAL,exact,1.0,
Odisha,Gajapati,GAJAPATI,exact,1.0,
Odisha,Ganjam,GANJAM,exact,1.0,
Odisha,Jharsuguda,JHARSUGUDA,exact,1.0,
Odisha,Kalahandi,KALAHANDI,exact,1.0,
Odisha,Kendrapara,KENDRAPARA,exact,1.0,
Odisha,Keonjhar,KEONJHAR (KENDUJHAR),exact,1.0,
Odisha,Khurda,KHORDHA,alias,,"documented rename/split, see ALIAS table"
Odisha,Koraput,KORAPUT,exact,1.0,
Odisha,Mayurbhanja,MAYURBHANJ,fuzzy,0.952,
Odisha,Nayagarh,NAYAGARH,exact,1.0,
Odisha,Nuapada,NUAPARHA,alias,,"documented rename/split, see ALIAS table"
Odisha,Puri,PURI,exact,1.0,
Odisha,Rayagada,RAYAGARHA,fuzzy,0.824,
Odisha,Sonepur,SUBARNAPUR,alias,,"documented rename/split, see ALIAS table"
Odisha,Sundergarh,SUNDARGARH,fuzzy,0.9,
Punjab,Amritsar,AMRITSAR,exact,1.0,
Punjab,Barnala,BARNALA,exact,1.0,
Punjab,Bhatinda,BATHINDA,fuzzy,0.875,
Punjab,Faridkot,FARIDKOT,exact,1.0,
Punjab,Fatehgarh,FATEHGARH SAHIB,alias,,"documented rename/split, see ALIAS table"
Punjab,Fazilka,FAZILKA,exact,1.0,
Punjab,Ferozpur,FIROZPUR,fuzzy,0.875,
Punjab,Gurdaspur,GURDASPUR,exact,1.0,
Punjab,Hoshiarpur,HOSHIARPUR,exact,1.0,
Punjab,Jalandhar,JALANDHAR,exact,1.0,
Punjab,Kapurthala,KAPURTHALA,exact,1.0,
Punjab,Ludhiana,LUDHIANA,exact,1.0,
Punjab,Mansa,MANSA,exact,1.0,
Punjab,Moga,MOGA,exact,1.0,
Punjab,Mohali,SAS NAGAR (SAHIBZADA AJIT SINGH NAGAR),alias,,"documented rename/split, see ALIAS table"
Punjab,Muktsar,SRI MUKTSAR SAHIB,alias,,"documented rename/split, see ALIAS table"
Punjab,Nawanshahr,SHAHID BHAGAT SINGH NAGAR,alias,,"documented rename/split, see ALIAS table"
Punjab,Pathankot,PATHANKOT,exact,1.0,
Punjab,Patiala,PATIALA,exact,1.0,
Punjab,Ropar (Rupnagar),RUPNAGAR,exact,1.0,"matched via cleaned variant ""RUPNAGAR"""
Punjab,Sangrur,SANGRUR,exact,1.0,
Punjab,Tarntaran,TARN TARAN,fuzzy,0.947,
Rajasthan,Ajmer,AJMER,exact,1.0,
Rajasthan,Alwar,ALWAR,exact,1.0,
Rajasthan,Alwar FV,ALWAR,exact,1.0,"matched via cleaned variant ""ALWAR"""
Rajasthan,Baran,BARAN,exact,1.0,
Rajasthan,Beawar,BEAWAR,exact,1.0,
Rajasthan,Bharatpur,BHARATPUR,exact,1.0,
Rajasthan,Bhilwara,BHILWARA,exact,1.0,
Rajasthan,Bikaner,BIKANER,exact,1.0,
Rajasthan,Chittorgarh,CHITTAURGARH,fuzzy,0.87,
Rajasthan,Churu,CHURU,exact,1.0,
Rajasthan,Ganganagar,GANGANAGAR,exact,1.0,
Rajasthan,Hanumangarh,HANUMANGARH,exact,1.0,
Rajasthan,Hanumangarh Town APMC,HANUMANGARH,exact,1.0,"matched via cleaned variant ""HANUMANGARH"""
Rajasthan,Jaipur,JAIPUR(GRAMIN),exact,1.0,
Rajasthan,Jaisalmer,JAISALMER,exact,1.0,
Rajasthan,Jalore,JALOR,fuzzy,0.909,
Rajasthan,Jhunjhunu,JHUNJHUNUN,fuzzy,0.947,
Rajasthan,Jodhpur,JODHPUR,exact,1.0,
Rajasthan,Kota,KOTA,exact,1.0,
Rajasthan,Pratapgarh,PRATAPGARH,exact,1.0,
Rajasthan,Rajsamand,RAJSAMAND,exact,1.0,
Rajasthan,Sikar,SIKAR,exact,1.0,
Rajasthan,Sirohi,SIROHI,exact,1.0,
Rajasthan,Udaipur,UDAIPUR,exact,1.0,
Tamil Nadu,Ariyalur,ARIYALUR,exact,1.0,
Tamil Nadu,Chengalpattu,CHENGALPATTU,exact,1.0,
Tamil Nadu,Coimbatore,COIMBATORE,exact,1.0,
Tamil Nadu,Cuddalore,CUDDALORE,exact,1.0,
Tamil Nadu,Dharmapuri,DHARMAPURI,exact,1.0,
Tamil Nadu,Dindigul,DINDIGUL,exact,1.0,
Tamil Nadu,Erode,ERODE,exact,1.0,
Tamil Nadu,Kallakuruchi,KALLAKKURICHI,fuzzy,0.88,
Tamil Nadu,Kancheepuram,KANCHIPURAM,fuzzy,0.87,
Tamil Nadu,Karur,KARUR,exact,1.0,
Tamil Nadu,Krishnagiri,KRISHNAGIRI,exact,1.0,
Tamil Nadu,Madurai,MADURAI,exact,1.0,
Tamil Nadu,Nagapattinam,NAGAPATTINAM,exact,1.0,
Tamil Nadu,Nagercoil (Kannyiakumari),KANNIYAKUMARI,fuzzy,0.923,
Tamil Nadu,Namakkal,NAMAKKAL,exact,1.0,
Tamil Nadu,Perambalur,PERAMBALUR,exact,1.0,
Tamil Nadu,Pudukkottai,PUDUKKOTTAI,exact,1.0,
Tamil Nadu,Ramanathapuram,RAMANATHAPURAM,exact,1.0,
Tamil Nadu,Ranipet,RANIPET,exact,1.0,
Tamil Nadu,Salem,SALEM,exact,1.0,
Tamil Nadu,Sivaganga,SIVAGANGA,exact,1.0,
Tamil Nadu,Tenkasi,TENKASI,exact,1.0,
Tamil Nadu,Thanjavur,THANJAVUR,exact,1.0,
Tamil Nadu,The Nilgiris,THE NILGIRIS,exact,1.0,
Tamil Nadu,Theni,THENI,exact,1.0,
Tamil Nadu,Thiruchirappalli,TIRUCHIRAPPALLI,fuzzy,0.968,
Tamil Nadu,Thirunelveli,TIRUNELVELI,fuzzy,0.957,
Tamil Nadu,Thirupathur,TIRUPATHUR,fuzzy,0.952,
Tamil Nadu,Thirupur,TIRUPPUR,fuzzy,0.875,
Tamil Nadu,Thiruvannamalai,TIRUVANNAMALAI,fuzzy,0.966,
Tamil Nadu,Thiruvarur,THIRUVARUR,exact,1.0,
Tamil Nadu,Thiruvellore,THIRUVALLUR,alias,,"documented rename/split, see ALIAS table"
Tamil Nadu,Tuticorin,THOOTHUKUDI,alias,,"documented rename/split, see ALIAS table"
Tamil Nadu,Vellore,VELLORE,exact,1.0,
Tamil Nadu,Villupuram,VILUPPURAM,fuzzy,0.9,
Tamil Nadu,Virudhunagar,VIRUDHUNAGAR,exact,1.0,
Telangana,Hanumakonda,HANUMAKONDA,exact,1.0,
Telangana,Hyderabad,HYDERABAD,exact,1.0,
Telangana,Karimnagar,KARIMNAGAR,exact,1.0,
Telangana,Kukatpally Rythu Bazar APMC,,unmatched,0.5,best candidate too weak: PEDDAPALLI
Telangana,Mahbubnagar,MAHABUBNAGAR,fuzzy,0.957,
Telangana,Medak,MEDAK,exact,1.0,
Telangana,Medchal Malkajgiri,MEDCHAL_MALKAJGIRI,fuzzy,0.971,
Telangana,Nalgonda,NALGONDA,exact,1.0,
Telangana,Ranga Reddy,RANGA REDDY,exact,1.0,
Telangana,Sangareddy,SANGAREDDY,exact,1.0,
Telangana,Siddipet,SIDDIPET,exact,1.0,
Telangana,Warangal,WARANGAL,exact,1.0,
Tripura,Dhalai,DHALAI,exact,1.0,
Tripura,Gomati,GOMTI,fuzzy,0.909,
Tripura,Khowai,KHOWAI,exact,1.0,
Tripura,North Tripura,NORTH TRIPURA,exact,1.0,
Tripura,Sepahijala,SEPAHIJALA,exact,1.0,
Tripura,South Tripura,SOUTH TRIPURA,exact,1.0,
Tripura,Unokoti,UNAKOTI,fuzzy,0.857,
Tripura,West District,WEST TRIPURA,alias,,"documented rename/split, see ALIAS table"
Uttar Pradesh,Agra,AGRA,exact,1.0,
Uttar Pradesh,Aligarh,ALIGARH,exact,1.0,
Uttar Pradesh,Ambedkarnagar,AMBEDKAR NAGAR,fuzzy,0.963,
Uttar Pradesh,Amethi,AMETHI,exact,1.0,
Uttar Pradesh,Amroha,AMROHA,exact,1.0,
Uttar Pradesh,Auraiya,AURAIYA,exact,1.0,
Uttar Pradesh,Ayodhya,AYODHYA,exact,1.0,
Uttar Pradesh,Azamgarh,AZAMGARH,exact,1.0,
Uttar Pradesh,Badaun,BUDAUN,fuzzy,0.833,
Uttar Pradesh,Baghpat,BAGHPAT,exact,1.0,
Uttar Pradesh,Bahraich,BAHRAICH,exact,1.0,
Uttar Pradesh,Ballia,BALLIA,exact,1.0,
Uttar Pradesh,Balrampur,BALRAMPUR,exact,1.0,
Uttar Pradesh,Banda,BANDA,exact,1.0,
Uttar Pradesh,Barabanki,BARA BANKI,fuzzy,0.947,
Uttar Pradesh,Bareilly,BAREILLY,exact,1.0,
Uttar Pradesh,Basti,BASTI,exact,1.0,
Uttar Pradesh,Bhadohi(Sant Ravi Nagar),BHADOHI,exact,1.0,"matched via cleaned variant ""BHADOHI"""
Uttar Pradesh,Bijnor,BIJNOR,exact,1.0,
Uttar Pradesh,Bulandshahar,BULANDSHAHR,fuzzy,0.957,
Uttar Pradesh,Chandauli,CHANDAULI,exact,1.0,
Uttar Pradesh,Chitrakut,CHITRAKOOT,fuzzy,0.842,
Uttar Pradesh,Deoria,DEORIA,exact,1.0,
Uttar Pradesh,Etah,ETAH,exact,1.0,
Uttar Pradesh,Etawah,ETAWAH,exact,1.0,
Uttar Pradesh,Farukhabad,FARRUKHABAD,fuzzy,0.952,
Uttar Pradesh,Fatehpur,FATEHPUR,exact,1.0,
Uttar Pradesh,Firozabad,FIROZABAD,exact,1.0,
Uttar Pradesh,Gautam Budh Nagar,GAUTAM BUDDHA NAGAR,fuzzy,0.944,
Uttar Pradesh,Ghaziabad,GHAZIABAD,exact,1.0,
Uttar Pradesh,Gonda,GONDA,exact,1.0,
Uttar Pradesh,Gorakhpur,GORAKHPUR,exact,1.0,
Uttar Pradesh,Hamirpur,HAMIRPUR,exact,1.0,
Uttar Pradesh,Hardoi,HARDOI,exact,1.0,
Uttar Pradesh,Hathras,HATHRAS,exact,1.0,
Uttar Pradesh,Jalaun (Orai),JALAUN,exact,1.0,"matched via cleaned variant ""JALAUN"""
Uttar Pradesh,Jaunpur,JAUNPUR,exact,1.0,
Uttar Pradesh,Jhansi,JHANSI,exact,1.0,
Uttar Pradesh,Kannuj,KANNAUJ,fuzzy,0.923,
Uttar Pradesh,Kanpur,,needs_review,0.769,closest VEDAS candidate: JAUNPUR
Uttar Pradesh,Kanpur Dehat,KANPUR DEHAT,exact,1.0,
Uttar Pradesh,Kasganj,KASGANJ,exact,1.0,
Uttar Pradesh,Kaushambi,KAUSHAMBI,exact,1.0,
Uttar Pradesh,Khiri (Lakhimpur),,needs_review,0.8,closest VEDAS candidate: KHERI
Uttar Pradesh,Lakhimpur,,needs_review,0.706,closest VEDAS candidate: LALITPUR
Uttar Pradesh,Lalitpur,LALITPUR,exact,1.0,
Uttar Pradesh,Lucknow,LUCKNOW,exact,1.0,
Uttar Pradesh,Maharajganj,MAHRAJGANJ,fuzzy,0.952,
Uttar Pradesh,Mahoba,MAHOBA,exact,1.0,
Uttar Pradesh,Mainpuri,MAINPURI,exact,1.0,
Uttar Pradesh,Mathura,MATHURA,exact,1.0,
Uttar Pradesh,Mau(Maunathbhanjan),MAU,exact,1.0,"matched via cleaned variant ""MAU"""
Uttar Pradesh,Meerut,MEERUT,exact,1.0,
Uttar Pradesh,Mirzapur,MIRZAPUR,exact,1.0,
Uttar Pradesh,Muzaffarnagar,MUZAFFARNAGAR,exact,1.0,
Uttar Pradesh,Pillibhit,PILIBHIT,fuzzy,0.941,
Uttar Pradesh,Pratapgarh,PRATAPGARH,exact,1.0,
Uttar Pradesh,Prayagraj,PRAYAGRAJ,exact,1.0,
Uttar Pradesh,Raebarelli,RAE BARELI,fuzzy,0.9,
Uttar Pradesh,Rampur,RAMPUR,exact,1.0,
Uttar Pradesh,Saharanpur,SAHARANPUR,exact,1.0,
Uttar Pradesh,Sambhal,SAMBHAL,exact,1.0,
Uttar Pradesh,Sant Kabir Nagar,SANT KABIR NAGAR,exact,1.0,
Uttar Pradesh,Shahjahanpur,SHAHJAHANPUR,exact,1.0,
Uttar Pradesh,Shamli,SHAMLI,exact,1.0,
Uttar Pradesh,Shravasti,SHRAWASTI,fuzzy,0.889,
Uttar Pradesh,Siddharth Nagar,SIDDHARTHNAGAR,fuzzy,0.966,
Uttar Pradesh,Sitapur,SITAPUR,exact,1.0,
Uttar Pradesh,Sonbhadra,SONBHADRA,exact,1.0,
Uttar Pradesh,Tamkuhi road APMC,,unmatched,0.556,best candidate too weak: AMROHA
Uttar Pradesh,Unnao,UNNAO,exact,1.0,
Uttar Pradesh,Varanasi(F&V) APMC,VARANASI,exact,1.0,"matched via cleaned variant ""VARANASI"""
Uttarakhand,Chamoli (Gopeshwar),CHAMOLI,exact,1.0,"matched via cleaned variant ""CHAMOLI"""
Uttarakhand,Dehradoon,DEHRADUN,fuzzy,0.824,
Uttarakhand,Garhwal (Pauri),PAURI GARHWAL,alias,,"documented rename/split, see ALIAS table"
Uttarakhand,Haridwar,HARIDWAR,exact,1.0,
Uttarakhand,Nanital,NAINITAL,fuzzy,0.933,
Uttarakhand,Udhamsinghnagar,UDHAM SINGH NAGAR,fuzzy,0.938,
West Bengal,Alipurduar,ALIPUR DUAR,fuzzy,0.952,
West Bengal,Bankura,BANKURA,exact,1.0,
West Bengal,Birbhum,BIRBHUM,exact,1.0,
West Bengal,Coochbehar,KOCH BIHAR,alias,,"documented rename/split, see ALIAS table"
West Bengal,Dakshin Dinajpur,DAKSHIN DINAJPUR,exact,1.0,
West Bengal,Darjeeling,DARJILING,fuzzy,0.842,
West Bengal,Hooghly,HUGLI,alias,,"documented rename/split, see ALIAS table"
West Bengal,Howrah,HAORA,alias,,"documented rename/split, see ALIAS table"
West Bengal,Jalpaiguri,JALPAIGURI,exact,1.0,
West Bengal,Jhargram,JHARGRAM,exact,1.0,
West Bengal,Kalimpong,KALIMPONG,exact,1.0,
West Bengal,Kolkata,KOLKATA,exact,1.0,
West Bengal,Malda,MALDAH,fuzzy,0.909,
West Bengal,Medinipur(E),PURBA MEDINIPUR,alias,,"documented rename/split, see ALIAS table"
West Bengal,Medinipur(W),PASCHIM MEDINIPUR,alias,,"documented rename/split, see ALIAS table"
West Bengal,Murshidabad,MURSHIDABAD,exact,1.0,
West Bengal,Nadia,NADIA,exact,1.0,
West Bengal,North 24 Parganas,NORTH TWENTY-FOUR PARGANAS,alias,,"documented rename/split, see ALIAS table"
West Bengal,Paschim Bardhaman,PASCHIM BARDDHAMAN,fuzzy,0.971,
West Bengal,Purba Bardhaman,PURBA BARDDHAMAN,fuzzy,0.968,
West Bengal,Puruliya,PURULIYA,exact,1.0,
West Bengal,Sounth 24 Parganas,SOUTH 24PARGANAS,alias,,"documented rename/split, see ALIAS table"
West Bengal,Uttar Dinajpur,UTTAR DINAJPUR,exact,1.0,
